ligne;lettre_station;station;facilite_acces_code;facilite_acces;nombre_facilite_acces_station
;H;Hôpital Delafontaine;green;très facile d'accès (ascenseur ou plain-pied);1
;H;Hôpital Robert Debré;green;très facile d'accès (ascenseur ou plain-pied);1
;H;Hôtel de Ville;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;H;Hotel de Ville de Bobigny;green;très facile d'accès (ascenseur ou plain-pied);1
;H;Hôtel de Ville de la Courneuve;green;très facile d'accès (ascenseur ou plain-pied);1
;I;Iéna;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;I;Invalides;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
METRO 15;I;Issy;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;2
RER C;I;Issy;grey;comportant uniquement des escaliers et profonde;2
RER C;I;Issy - Val de Seine;green;très facile d'accès (ascenseur ou plain-pied);2
TRAM 2;I;Issy - Val de Seine;green;très facile d'accès (ascenseur ou plain-pied);2
;I;Ivry-sur-Seine;white;comportant uniquement des escaliers et peu profonde;1
;J;Jacqueline Auriol;green;très facile d'accès (ascenseur ou plain-pied);1
;J;Jacques Bonsergent;white;comportant uniquement des escaliers et peu profonde;1
;J;Jacques-Henri Lartigue;green;très facile d'accès (ascenseur ou plain-pied);1
;J;Jasmin;white;comportant uniquement des escaliers et peu profonde;1
METRO 7bis;J;Jaurès;grey;comportant uniquement des escaliers et profonde;2
TRAIN P;J;Jaurès;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;2
;J;Javel;green;très facile d'accès (ascenseur ou plain-pied);1
;J;Jean Moulin;green;très facile d'accès (ascenseur ou plain-pied);1
;J;Jean Rostand;green;très facile d'accès (ascenseur ou plain-pied);1
;J;Jourdain;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;J;Jules Joffrin;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;J;Jussieu;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;K;Kléber;white;comportant uniquement des escaliers et peu profonde;1
;L;L'Île Saint-Denis;green;très facile d'accès (ascenseur ou plain-pied);1
;L;La Briqueterie;green;très facile d'accès (ascenseur ou plain-pied);1
;L;La Chapelle;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;L;La Courneuve - Aubervilliers;green;très facile d'accès (ascenseur ou plain-pied);1
;L;La Courneuve - Six Routes;green;très facile d'accès (ascenseur ou plain-pied);1
METRO 7;L;La Courneuve - 8 Mai 1945;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;2
TRAM 1;L;La Courneuve - 8 Mai 1945;green;très facile d'accès (ascenseur ou plain-pied);2
;L;La Défense (Grande Arche);green;très facile d'accès (ascenseur ou plain-pied);1
;L;La Ferme;green;très facile d'accès (ascenseur ou plain-pied);1
;L;La Fourche;grey;comportant uniquement des escaliers et profonde;1
;L;La Garenne-Colombes;green;très facile d'accès (ascenseur ou plain-pied);1
METRO 8;L;La Motte-Picquet - Grenelle;black;facile d'accès, équipée d'escalator ou ascenseur sur tout le parcours entre la rue et le quai;2
METRO 10;L;La Motte-Picquet - Grenelle;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;2
;L;La Muette;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;L;La Noue;green;très facile d'accès (ascenseur ou plain-pied);1
;L;La Plaine - Stade de France;green;très facile d'accès (ascenseur ou plain-pied);1
;L;La Tour Maubourg;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;L;Lamarck Caulaincourt;black;facile d'accès, équipée d'escalator ou ascenseur sur tout le parcours entre la rue et le quai;1
;L;Laplace;green;très facile d'accès (ascenseur ou plain-pied);1
;L;Laumière;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;L;Le Kremlin-Bicêtre;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;L;Le Luth;green;très facile d'accès (ascenseur ou plain-pied);1
;L;Le Peletier;white;comportant uniquement des escaliers et peu profonde;1
;L;Le Stade;green;très facile d'accès (ascenseur ou plain-pied);1
;L;Le Vert de Maisons;green;très facile d'accès (ascenseur ou plain-pied);1
;L;Le Village;green;très facile d'accès (ascenseur ou plain-pied);1
;L;Ledru-Rollin;white;comportant uniquement des escaliers et peu profonde;1
METRO 15;L;Les Ardoines;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;2
RER C;L;Les Ardoines;black;facile d'accès, équipée d'escalator ou ascenseur sur tout le parcours entre la rue et le quai;2
;L;Les Agnettes;black;facile d'accès, équipée d'escalator ou ascenseur sur tout le parcours entre la rue et le quai;1
;L;Les Coteaux;green;très facile d'accès (ascenseur ou plain-pied);1
;L;Les Fauvelles;green;très facile d'accès (ascenseur ou plain-pied);1
;L;Les Gobelins;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;L;Les Grésillons;grey;comportant uniquement des escaliers et profonde;1
;L;Les Halles;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;L;Les Milons;green;très facile d'accès (ascenseur ou plain-pied);1
;L;Les Moulineaux;green;très facile d'accès (ascenseur ou plain-pied);1
;L;Les Sablons;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;L;Les Vallées;green;très facile d'accès (ascenseur ou plain-pied);1
;L;Libération;green;très facile d'accès (ascenseur ou plain-pied);1
;L;Liberté;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;L;Liège;grey;comportant uniquement des escaliers et profonde;1
;L;Louis Blanc;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;L;Louise Michel;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;L;Lourmel;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;L;Louvre Rivoli;white;comportant uniquement des escaliers et peu profonde;1
;L;Luxembourg;green;très facile d'accès (ascenseur ou plain-pied);1
;M;Mabillon;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
METRO 12;M;Madeleine;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;3
METRO 14;M;Madeleine;black;facile d'accès, équipée d'escalator ou ascenseur sur tout le parcours entre la rue et le quai;3
METRO 8;M;Madeleine;green;très facile d'accès (ascenseur ou plain-pied);3
;M;Magenta;green;très facile d'accès (ascenseur ou plain-pied);1
;M;Mairie d'Aubervilliers;black;facile d'accès, équipée d'escalator ou ascenseur sur tout le parcours entre la rue et le quai;1
;M;Mairie d'Issy;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;M;Mairie d'Ivry;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;M;Mairie de Clichy;grey;comportant uniquement des escaliers et profonde;1
;M;Mairie de Montreuil;green;très facile d'accès (ascenseur ou plain-pied);1
;M;Mairie de Montrouge;green;très facile d'accès (ascenseur ou plain-pied);1
METRO 13;M;Mairie de Saint-Ouen;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;2
METRO 14;M;Mairie de Saint-Ouen;green;très facile d'accès (ascenseur ou plain-pied);2
;M;Mairie de Villeneuve-la-Garenne;green;très facile d'accès (ascenseur ou plain-pied);1
;M;Mairie de Vitry-sur-Seine;green;très facile d'accès (ascenseur ou plain-pied);1
;M;Mairie des Lilas;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
METRO 7;M;Maison Blanche;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;2
METRO 14;M;Maison Blanche;green;très facile d'accès (ascenseur ou plain-pied);2
;M;Maisons-Alfort - Alfortville;green;très facile d'accès (ascenseur ou plain-pied);1
;M;Maisons-Alfort - Les Juilliottes;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;M;Maisons-Alfort - Stade;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;M;Malakoff - Plateau de Vanves;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;M;Malakoff - Rue Étienne Dolet;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;M;Malesherbes;yellow;équipée d'au moins un escalator ou ascenseur sur le parcours entre la rue et le quai;1
;M;Maraîchers;white;comportant uniquement des escaliers et peu profonde;1
